input,response
"2024년 12월 04일에 회의, 행정안전, 고용노동, 경찰청, 철도노조 와 관련된 뉴스의 내용은?","이날 회의에는 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b>(코레일) 등 기관 관계자들이 참여했다. 코레일과 철도노조는 이날 오후 4시부터 서울 중구 코레일 서울본부에서 마지막 교섭을 진행... "
"2024년 12월 04일에 박상우, 국토교통부, 경기도 와 관련된 뉴스의 내용은?","박상우 국토교통부 장관은 4일 오후 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b> 등 관계기관과 함께 코레일 노사 간 협상이 결렬될 경우를 대비해 철도파업 대비 수송대책 점검 회의를... "
"2024년 12월 04일에 전국철도노동조합, 무기한, 총파업, 열차, 안전, 운행  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합에서 5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 밝혔다. 코레일은 부사장을 중심으로 24시간 비상대책본부를 운영하는 등... 
"2024년 12월 04일에 국철노동조합, 무기한, 총파업, 열차, 안전운행 비상수송체제 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합에서 내일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 밝혔습니다. 코레일은 부사장을 중심으로 24시간 비상대책본부를 운영하는... 
"2024년 12월 04일에 국토교통부, 박상우, 장관, 고용노동부, 경찰청, 행정안전부  와 관련된 뉴스의 내용은?","4일 국토교통부에 따르면, 박상우 장관은 이날 오후 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b>(코레일) 등 관계기관과 함께 코레일 노사 간 협상이 결렬될 경우를 대비해 수송대책... "
"2024년 12월 04일에 서울교통공사, 노조, 전국철도노동조합, 파업, 광역철도, 지하철  와 관련된 뉴스의 내용은?","서울지하철 1~8호선을 운영하는 서울교통공사 노조와 수도권 광역철도를 운영하는 <b>한국철도공사</b>(코레일) 전국철도노동조합이 5~6일 무기한 총파업에 돌입하는 가운데, 경기도가 시외·광역·시내버스 증차를 하는 등... "
2024년 12월 04일에 제일 많이 언급된 키워드 순으로 알려줘,"총파업, 파업, 전국철도노동조합, 무기한, 비상수송체제, 열차, 철도노조, 노조, 철도, 국토교통부, 코레일 "
2024년 12월 04일에 비상수송와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 체제, 코레일, 조정, 열차운행, 철도노조, 안전대책, 운행, 무기한, 안전, 파업, 열차, 철도, 대책본부, 예고, 노조, 전국철도노조, 비상, 전국, 한국 "
2024년 12월 04일에 조정와 같이 많이 언급된 키워드 순으로 알려줘,"비상수송, 열차운행, 철도노조, 총파업, 체제, 안전대책, 코레일 "
2024년 12월 04일에 열차운행와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 코레일, 전국철도노동조합, 조정, 비상수송, 철도노조, 체제, 안전대책, 비상대책본부, 안전비상수송체제, 비상수송체제, 예고, 무기한총파업 "
2024년 12월 04일에 철도노조와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 코레일, 파업, 비상수송체제, 무기한, 조정, 비상수송, 열차운행, 체제, 안전대책, 노조, 교섭, 안전수송, 국민안전, 전국철도노동조합, 무기한총파업, 총동원, 열차운행비상대책본부, 운행, 비상대책본부, 안전, 대응, 열차, 가용자원, 국토안전시스템, 출퇴근시간, 경강선, 서울교통공사, 도심교통, 수인분당선, 경찰청, 회의, 행정안전, 고용노동 "
2024년 12월 04일에 총파업와 같이 많이 언급된 키워드 순으로 알려줘,"무기한, 전국철도노동조합, 비상수송체제, 열차, 파업, 안전, 철도노조, 코레일, 철도, 노조, 운행, 비상수송, 체제, 비상, 노동조합, 열차운행, 전국, 한국, 비상대책본부, 안전운행, 조정, 안전대책, 기본급, 인상, 승인, 성과급, 중단, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급, 교섭, 예고에, 따른, 수송체제, 국토교통부, 연수, 노동쟁의, 위반, 제공하는, 철도운영법, 국민철도, 민주노총, 공사, 안전비상수송체제, 방안, 열차운행비상, 투쟁, 전환, 대표들, 최명호철도노조위원장, 사측, 철도노동조합, 노사대립, 시민참여, 국제교류, 한국철도, 수송, 대책본부, 예고, 전국철도노조, 대응, 열차안전운행, 노조파업, 국철노동조합 "
2024년 12월 04일에 체제와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 비상수송, 코레일, 운행, 무기한, 안전, 열차, 조정, 열차운행, 철도노조, 안전대책, 파업, 전국철도노동조합, 수송, 비상 "
2024년 12월 04일에 안전대책와 같이 많이 언급된 키워드 순으로 알려줘,"조정, 비상수송, 열차운행, 철도노조, 총파업, 체제, 코레일 "
2024년 12월 04일에 코레일와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 철도노조, 비상수송, 열차운행, 체제, 비상대책본부, 전국철도노동조합, 운행, 무기한, 안전, 파업, 열차, 조정, 안전대책, 안전비상수송체제, 안전수송, 국민안전, 무기한총파업, 총동원, 열차운행비상대책본부, 비상수송체제, 대응 "
2024년 12월 04일에 샬롬엔지니어링와 같이 많이 언급된 키워드 순으로 알려줘,"컨소시엄, 궤도안전 "
2024년 12월 04일에 컨소시엄와 같이 많이 언급된 키워드 순으로 알려줘,"샬롬엔지니어링, 궤도안전 "
2024년 12월 04일에 궤도안전와 같이 많이 언급된 키워드 순으로 알려줘,"샬롬엔지니어링, 컨소시엄 "
2024년 12월 04일에 국토교통부와 같이 많이 언급된 키워드 순으로 알려줘,"박상우, 경찰청, 고용노동부, 행정안전부, 경기도, 대비, 수송대책, 서울시, 인천시, 철도파업, 수송체제, 연수, 노동쟁의, 위반, 무기한, 전국철도노동조합, 총파업, 제공하는, 비상, 철도운영법, 파업, 장관 "
2024년 12월 04일에 박상우와 같이 많이 언급된 키워드 순으로 알려줘,"국토교통부, 경찰청, 고용노동부, 행정안전부, 경기도, 철도파업, 대비, 수송대책, 서울시, 장관, 인천시 "
2024년 12월 04일에 철도파업와 같이 많이 언급된 키워드 순으로 알려줘,"박상우, 국토교통부, 경찰청, 대비, 고용노동부, 행정안전부, 수송대책 "
2024년 12월 04일에 경찰청와 같이 많이 언급된 키워드 순으로 알려줘,"고용노동부, 행정안전부, 국토교통부, 대비, 수송대책, 서울시, 인천시, 경기도, 박상우, 파업, 철도파업, 국토부, 철도노조, 회의, 행정안전, 고용노동, 장관 "
2024년 12월 04일에 대비와 같이 많이 언급된 키워드 순으로 알려줘,"경찰청, 고용노동부, 행정안전부, 수송대책, 국토교통부, 서울시, 파업, 인천시, 경기도, 박상우, 철도파업, 국토부 "
2024년 12월 04일에 고용노동부와 같이 많이 언급된 키워드 순으로 알려줘,"경찰청, 행정안전부, 국토교통부, 대비, 수송대책, 서울시, 인천시, 경기도, 박상우, 파업, 철도파업, 국토부, 장관 "
2024년 12월 04일에 행정안전부와 같이 많이 언급된 키워드 순으로 알려줘,"경찰청, 고용노동부, 국토교통부, 대비, 수송대책, 서울시, 인천시, 경기도, 박상우, 파업, 철도파업, 국토부, 장관 "
2024년 12월 04일에 수송대책와 같이 많이 언급된 키워드 순으로 알려줘,"경찰청, 대비, 고용노동부, 행정안전부, 국토교통부, 서울시, 파업, 인천시, 경기도, 박상우, 철도파업, 국토부 "
2024년 12월 04일에 경강선와 같이 많이 언급된 키워드 순으로 알려줘,"파업, 수인분당선, 서울교통공사, 서울도시철도, 노조, 철도, 도시철도, 공사, 철도운행차질, 철도노조, 도심교통 "
2024년 12월 04일에 서울도시철도와 같이 많이 언급된 키워드 순으로 알려줘,"경강선, 파업, 수인분당선, 노조, 서울교통공사 "
2024년 12월 04일에 노조와 같이 많이 언급된 키워드 순으로 알려줘,"파업, 총파업, 철도, 교섭, 전국, 한국, 경강선, 서울도시철도, 수인분당선, 철도노조, 국민철도, 민주노총, 공사, 노동조합, 무기한, 방안, 열차운행비상, 비상수송체제, 비상수송, 대책본부, 예고, 전국철도노조, 비상, 서울교통공사, 전국철도노동조합, 증차, 지하철, 광역철도, 버스 "
2024년 12월 04일에 파업와 같이 많이 언급된 키워드 순으로 알려줘,"경강선, 노조, 수인분당선, 총파업, 서울교통공사, 철도노조, 무기한, 철도, 서울도시철도, 교섭, 서울시, 경찰청, 대비, 고용노동부, 행정안전부, 수송대책, 인천시, 경기도, 운행, 안전, 코레일, 열차, 비상수송체제, 국토부, 방안, 열차운행비상, 비상수송, 체제, 투쟁, 전환, 대표들, 노동조합, 최명호철도노조위원장, 사측, 철도노동조합, 노사대립, 시민참여, 국제교류, 도시철도, 공사, 비상대책본부, 대응, 국토교통부, 철도운행차질, 도심교통, 전국철도노동조합, 증차, 지하철, 광역철도, 버스 "
2024년 12월 04일에 수인분당선와 같이 많이 언급된 키워드 순으로 알려줘,"경강선, 파업, 서울교통공사, 서울도시철도, 노조, 철도, 도시철도, 공사, 철도운행차질, 철도노조, 도심교통 "
2024년 12월 04일에 기본급와 같이 많이 언급된 키워드 순으로 알려줘,"인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 인상와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 승인와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 성과급와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 중단와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 철도와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 노조, 파업, 전국, 한국, 공사, 기본급, 인상, 승인, 성과급, 중단, 안정, 오는, 정상, 인력, 충원, 외주화, 교대, 지급, 국민철도, 민주노총, 노동조합, 무기한, 방안, 열차운행비상, 비상수송체제, 교섭, 경강선, 서울교통공사, 도시철도, 수인분당선, 비상수송, 대책본부, 예고, 전국철도노조, 비상 "
2024년 12월 04일에 안정와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 오는, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 오는와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 정상, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 정상와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 인력, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 인력와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 충원, 외주화, 교대, 지급 "
2024년 12월 04일에 충원와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 외주화, 교대, 지급 "
2024년 12월 04일에 외주화와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 교대, 지급 "
2024년 12월 04일에 교대와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 지급 "
2024년 12월 04일에 지급와 같이 많이 언급된 키워드 순으로 알려줘,"기본급, 인상, 승인, 성과급, 중단, 철도, 총파업, 안정, 오는, 정상, 인력, 충원, 외주화, 교대 "
2024년 12월 04일에 무기한와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 비상수송체제, 열차, 전국철도노동조합, 안전, 운행, 파업, 비상, 체제, 코레일, 안전운행, 철도노조, 예고에, 따른, 수송체제, 국토교통부, 연수, 노동쟁의, 위반, 제공하는, 철도운영법, 철도, 노조, 방안, 열차운행비상, 비상수송, 한국철도, 노동조합, 수송, 비상대책본부, 대응, 국철노동조합 "
2024년 12월 04일에 전국철도노동조합와 같이 많이 언급된 키워드 순으로 알려줘,"총파업, 무기한, 비상수송체제, 무기한총파업, 열차, 비상, 열차운행, 코레일, 열차안전운행, 운행, 안전, 예고에, 따른, 수송체제, 국토교통부, 연수, 노동쟁의, 위반, 제공하는, 철도운영법, 비상대책본부, 안전비상수송체제, 안전수송, 국민안전, 철도노조, 총동원, 열차운행비상대책본부, 체제, 수송, 안전운행, 예고, 이용객불편, 한국철도공사코레일, 서울교통공사, 증차, 노조, 지하철, 파업, 광역철도, 버스 "
2024년 12월 04일에 교섭와 같이 많이 언급된 키워드 순으로 알려줘,"노조, 파업, 철도노조, 총파업, 비상수송체제, 철도 "
2024년 12월 04일에 비상수송체제와 같이 많이 언급된 키워드 순으로 알려줘,"무기한, 총파업, 전국철도노동조합, 열차, 무기한총파업, 안전, 열차안전운행, 파업, 안전운행, 철도노조, 운행, 예고에, 따른, 철도, 노조, 교섭, 한국철도, 노동조합, 열차운행, 예고, 비상대책본부, 코레일, 대응, 이용객불편, 한국철도공사코레일, 국철노동조합 "
2024년 12월 04일에 예고에와 같이 많이 언급된 키워드 순으로 알려줘,"비상수송체제, 무기한, 전국철도노동조합, 총파업, 따른 "
2024년 12월 04일에 따른와 같이 많이 언급된 키워드 순으로 알려줘,"비상수송체제, 예고에, 무기한, 전국철도노동조합, 총파업 "
2024년 12월 04일에 서울시와 같이 많이 언급된 키워드 순으로 알려줘,"경찰청, 고용노동부, 행정안전부, 인천시, 경기도, 대비, 파업, 수송대책, 국토교통부, 국토부, 박상우, 장관 "
2024년 12월 04일에 인천시와 같이 많이 언급된 키워드 순으로 알려줘,"서울시, 경찰청, 고용노동부, 행정안전부, 경기도, 대비, 파업, 수송대책, 국토교통부, 국토부, 박상우, 장관 "
2024년 12월 04일에 경기도와 같이 많이 언급된 키워드 순으로 알려줘,"서울시, 경찰청, 고용노동부, 행정안전부, 인천시, 국토교통부, 대비, 파업, 수송대책, 박상우, 국토부, 장관 "
2024년 12월 04일에 국토부와 같이 많이 언급된 키워드 순으로 알려줘,"서울시, 경찰청, 대비, 고용노동부, 파업, 행정안전부, 수송대책, 인천시, 경기도 "
2024년 12월 04일에 수송체제와 같이 많이 언급된 키워드 순으로 알려줘,"국토교통부, 연수, 노동쟁의, 위반, 무기한, 전국철도노동조합, 총파업, 제공하는, 비상, 철도운영법 "
2024년 12월 04일에 연수와 같이 많이 언급된 키워드 순으로 알려줘,"수송체제, 국토교통부, 노동쟁의, 위반, 무기한, 전국철도노동조합, 총파업, 제공하는, 비상, 철도운영법 "
2024년 12월 04일에 노동쟁의와 같이 많이 언급된 키워드 순으로 알려줘,"수송체제, 국토교통부, 연수, 위반, 무기한, 전국철도노동조합, 총파업, 제공하는, 비상, 철도운영법 "
